dow,hour,count,proportion
4,22,89628.0,0.042165302211010926
4,23,74686.0,0.035135870051005956
5,0,121229.0,0.056877212144414796
5,1,49467.0,0.023208514902768863
5,2,28986.0,0.013599409969710277
5,3,38107.0,0.017878724753872543
5,4,21402.0,0.01004121203932034
5,5,19939.0,0.009354813888982723
5,6,22154.0,0.010394029133683898
5,7,36475.0,0.017113036591636734
5,8,75185.0,0.03527467186133538
5,9,85199.0,0.039972956945054365
5,10,136429.0,0.06400862149857184
5,11,128381.0,0.0602327279142129
5,12,134578.0,0.06314018474103601
5,13,139435.0,0.06541895153269
5,14,135715.0,0.06367363292759368
5,15,139069.0,0.06524723470218859
5,16,137644.0,0.06457866507523637
5,17,137399.0,0.06446371801656739
5,18,115797.0,0.05432867164363972
5,19,106952.0,0.05017884823985557
5,20,89576.0,0.042026521336050775
5,21,94283.0,0.044234912377499276
5,22,75240.0,0.035300476303077394
5,23,62775.0,0.029452251461000573
6,0,162694.0,0.08232310505665678
6,1,45287.0,0.022915205592712797
6,2,33017.0,0.01670659003808153
6,3,30369.0,0.015366702997440654
6,4,17544.0,0.008877257643883528
6,5,15319.0,0.00775140844999155
6,6,21557.0,0.01090783418999072
6,7,50234.0,0.025418385800435768
6,8,45422.0,0.02298351554380287
6,9,74705.0,0.0378007029346967
6,10,101282.0,0.0512486553059628
6,11,113281.0,0.05732014495877621
6,12,119325.0,0.060378406769060755
6,13,160240.0,0.08108138194573053
6,14,123900.0,0.06269335511155774
6,15,129116.0,0.06533264922182316
6,16,129261.0,0.06540601916929027
6,17,116516.0,0.05895705378674949
6,18,107767.0,0.054530062956474924
6,19,78394.0,0.03966733559818771
6,20,83122.0,0.04205970188525345
6,21,69937.0,0.03538809666212279
6,22,60835.0,0.03078248795973862
6,23,87162.0,0.044103940421578655
